center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree
IND000000AAL,1,1,2,17,18,35
IND411033AAA,23,20,43,330,403,733
IND000000AAQ,0,1,1,0,2,2
IND700028AAB,2,1,3,25,11,36
IND000000AAS,1,1,2,8,9,17
IND783370AAC,1,1,2,9,8,17
IND000000AAZ,2,2,4,2,2,4
IND444203AAA,2,1,3,3,5,8
IND444303AAA,1,1,2,1,2,3
IND000000ABA,1,1,2,16,7,23
IND683565AAA,1,1,2,7,13,20
IND000000ABD,1,1,2,13,12,25
IND562132AAA,36,35,71,665,768,1433
IND000000ABG,0,1,1,0,11,11
IND501359AAF,3,0,3,59,0,59
IND000000ACA,13,9,22,134,128,262
IND140406AAA,1,1,2,2,7,9
IND142001AAB,2,2,4,27,30,57
IND142401AAA,2,1,3,15,6,21
IND143001AAA,3,1,4,29,19,48
IND144001AAB,5,5,10,76,58,134
IND144514AAA,1,2,3,12,6,18
IND147301AAA,2,2,4,4,2,6
IND152026AAA,6,7,13,35,37,72
IND160002AAC,32,29,61,431,370,801
IND000000ACB,45,49,94,928,1063,1991
IND000000AEL,1,1,2,23,17,40
IND110024AAA,3,1,4,31,9,40
IND110030AAD,2,1,3,58,7,65
IND110037AAK,1,1,2,39,43,82
IND110043AAA,3,2,5,32,38,70
IND110043AAC,1,1,2,9,1,10
IND110052AAA,1,1,2,2,10,12
IND110064AAA,2,3,5,50,42,92
IND110085AAB,4,5,9,50,18,68
IND110092AAC,3,2,5,7,7,14
IND110095AAB,1,1,2,36,1,37
IND121002AAB,1,1,2,57,29,86
IND121004AAB,9,7,16,145,169,314
IND122001AAA,2,5,7,59,26,85
IND122015AAC,1,0,1,2,0,2
IND124103AAA,1,1,2,13,9,22
IND124112AAA,1,3,4,7,8,15
IND125001AAA,7,8,15,27,46,73
IND125005AAA,4,5,9,9,14,23
IND125033AAA,2,2,4,6,5,11
IND127021AAA,2,1,3,11,8,19
IND131028AAB,20,20,40,329,245,574
IND201001AAC,2,2,4,12,3,15
IND201007AAA,8,5,13,49,21,70
IND201301AAF,8,3,11,88,32,120
IND201301AAM,1,1,2,39,27,66
IND209304AAA,16,13,29,172,220,392
IND282002AAD,6,5,11,30,30,60
IND301001AAB,5,3,8,37,18,55
IND301705AAA,2,1,3,7,1,8
IND302014AAA,10,8,18,96,96,192
IND302022AAD,1,1,2,20,7,27
IND328001AAA,3,3,6,13,14,27
IND382430AAB,17,13,30,257,280,537
IND390022AAA,5,4,9,28,50,78
IND421302AAG,29,29,58,583,821,1404
IND462022AAA,13,9,22,143,123,266
IND474003AAA,8,6,14,43,40,83
IND501359AAE,30,27,57,405,329,734
IND521225AAB,8,8,16,61,71,132
IND600056AAB,18,18,36,241,300,541
IND712311AAA,24,22,46,219,262,481
IND751002AAB,13,6,19,85,79,164
IND821115AAB,6,5,11,48,32,80
IND834002AAB,5,7,12,66,80,146
IND842001AAA,12,15,27,158,178,336
IND000000ACK,0,1,1,0,32,32
IND000000ACN,1,1,2,11,16,27
IND000000ACT,0,3,3,0,160,160
IND000000ADM,1,1,2,13,1,14
IND683511AAA,13,7,20,89,86,175
IND000000ADV,0,1,1,0,18,18
IND600044AAC,3,0,3,54,0,54
IND000000AEM,0,2,2,0,22,22
IND110037AAB,1,0,1,11,0,11
IND110064AAB,1,0,1,11,0,11
IND000000AET,1,1,2,4,8,12
IND000000AFF,1,1,2,3,3,6
IND734203AAA,1,0,1,3,0,3
IND000000AFG,0,2,2,0,4,4
IND673027AAB,1,2,3,1,3,4
IND673632AAA,2,4,6,8,15,23
IND000000AFJ,1,2,3,1,21,22
IND695121AAA,1,2,3,20,18,38
IND695572AAB,3,2,5,19,14,33
IND000000AFR,0,1,1,0,8,8
IND000000AFT,5,8,13,172,84,256
IND400072AAB,11,11,22,234,300,534
IND400701AAA,1,2,3,1,18,19
IND400706AAA,1,1,2,2,2,4
IND410206AAA,2,1,3,19,13,32
IND410206AAB,1,1,2,1,36,37
IND410209AAA,1,0,1,40,0,40
IND410210AAA,1,0,1,13,0,13
IND110014AAA,1,1,2,9,11,20
IND110020AAB,1,1,2,9,4,13
IND110037AAM,21,24,45,189,256,445
IND110035AAC,1,1,2,36,3,39
IND201301AAD,1,1,2,3,2,5
IND202001AAB,4,4,8,35,21,56
IND226004AAC,1,0,1,1,0,1
IND250002AAC,2,0,2,3,0,3
IND282001AAA,2,2,4,13,12,25
IND282001AAC,1,1,2,1,2,3
IND781018AAB,17,15,32,90,90,180
IND811399AAA,1,2,3,11,50,61
IND110039AAA,1,1,2,4,3,7
IND110078AAA,1,1,2,33,14,47
IND110044AAB,2,6,8,50,172,222
IND110005AAA,1,0,1,2,0,2
IND110046AAA,1,0,1,1,0,1
IND110077AAA,0,1,1,0,1,1
IND110083AAA,1,1,2,3,1,4
IND110085AAA,1,0,1,1,0,1
IND110087AAA,1,0,1,3,0,3
IND110093AAA,1,1,2,1,1,2
IND121001AAA,1,1,2,24,27,51
IND121002AAA,1,1,2,1,1,2
IND121004AAA,1,1,2,23,10,33
IND121004AAC,1,1,2,9,6,15
IND121102AAA,1,1,2,41,12,53
IND122001AAD,1,1,2,3,10,13
IND122050AAA,2,0,2,11,0,11
IND122101AAC,1,0,1,1,0,1
IND122001AAJ,1,1,2,19,13,32
IND507123AAA,1,1,2,13,12,25
IND122002AAD,0,1,1,0,2,2
IND122503AAA,1,1,2,2,2,4
IND122004AAA,0,2,2,0,44,44
IND122413AAE,1,0,1,43,0,43
IND123001AAA,2,1,3,3,13,16
IND123401AAB,1,2,3,13,13,26
IND123106AAB,1,0,1,10,0,10
IND124001AAB,1,1,2,4,4,8
IND126102AAA,1,2,3,4,7,11
IND124141AAA,1,1,2,3,10,13
IND124507AAA,2,2,4,11,12,23
IND131028AAE,1,1,2,3,1,4
IND125047AAB,2,2,4,10,11,21
IND125051AAA,3,1,4,13,4,17
IND335501AAA,1,1,2,1,1,2
IND335513AAA,3,3,6,20,16,36
IND335523AAB,3,1,4,6,1,7
IND335524AAA,2,1,3,7,1,8
IND125050AAA,1,1,2,1,2,3
IND125111AAA,1,1,2,4,2,6
IND125104AAA,1,1,2,10,1,11
IND125121AAA,1,1,2,2,3,5
IND126116AAA,1,1,2,5,5,10
IND131301AAA,2,1,3,7,2,9
IND126112AAA,0,1,1,0,16,16
IND127201AAA,1,1,2,8,3,11
IND131021AAA,0,1,1,0,58,58
IND131028AAA,1,0,1,58,0,58
IND132103AAA,2,2,4,3,8,11
IND136118AAA,1,1,2,17,22,39
IND201204AAA,1,1,2,9,6,15
IND244001AAA,1,1,2,19,16,35
IND244235AAA,1,1,2,21,20,41
IND247667AAA,1,1,2,5,14,19
IND247667AAB,1,1,2,15,2,17
IND248001AAA,3,1,4,29,12,41
IND248001AAD,2,1,3,3,9,12
IND249407AAA,5,3,8,49,54,103
IND250002AAA,3,1,4,8,5,13
IND250609AAA,1,0,1,1,0,1
IND250611AAA,1,1,2,3,11,14
IND251001AAA,1,1,2,10,12,22
IND132001AAA,2,3,5,7,6,13
IND132103AAB,1,2,3,3,8,11
IND133004AAA,0,1,1,0,6,6
IND135001AAA,2,1,3,7,12,19
IND134102AAA,2,1,3,3,16,19
IND174103AAA,4,1,5,20,6,26
IND134109AAA,0,1,1,0,15,15
IND134203AAA,1,2,3,1,15,16
IND140501AAA,1,1,2,14,14,28
IND173025AAA,1,1,2,12,11,23
IND136027AAA,1,1,2,22,21,43
IND132039AAA,1,0,1,21,0,21
IND136128AAA,1,1,2,22,22,44
IND140001AAA,1,1,2,21,19,40
IND140118AAA,1,1,2,19,17,36
IND140301AAA,1,2,3,21,40,61
IND140901AAA,2,2,4,40,40,80
IND140401AAA,2,3,5,8,7,15
IND160055AAA,2,1,3,36,21,57
IND141003AAB,0,3,3,0,29,29
IND141109AAA,2,1,3,19,18,37
IND142026AAA,1,2,3,21,19,40
IND141010AAA,0,1,1,0,1,1
IND141115AAA,2,1,3,9,14,23
IND151001AAA,6,4,10,48,51,99
IND144001AAA,1,1,2,2,16,18
IND144040AAA,2,1,3,17,10,27
IND144401AAB,1,1,2,14,17,31
IND144601AAA,1,2,3,3,3,6
IND144001AAC,0,2,2,0,27,27
IND144527AAA,0,1,1,0,4,4
IND145001AAA,1,2,3,13,8,21
IND176201AAA,1,1,2,7,9,16
IND176303AAA,2,1,3,10,10,20
IND147001AAB,2,2,4,13,13,26
IND147201AAA,2,1,3,7,7,14
IND147001AAD,2,3,5,9,7,16
IND148023AAA,2,2,4,8,3,11
IND147101AAA,2,2,4,10,10,20
IND147105AAA,2,2,4,12,8,20
IND148001AAA,1,0,1,2,0,2
IND148024AAB,1,0,1,1,0,1
IND148028AAA,0,2,2,0,12,12
IND148101AAA,1,1,2,8,5,13
IND148102AAA,1,1,2,5,1,6
IND151103AAA,1,1,2,5,2,7
IND151302AAA,1,1,2,17,16,33
IND151505AAA,1,1,2,16,5,21
IND151506AAA,1,1,2,5,18,23
IND152024AAA,1,1,2,2,2,4
IND152123AAA,1,1,2,2,1,3
IND152101AAA,1,1,2,1,2,3
IND152107AAA,2,1,3,2,1,3
IND152116AAA,1,2,3,2,2,4
IND140603AAA,1,0,1,29,0,29
IND160003AAA,1,1,2,1,1,2
IND160102AAC,1,1,2,25,28,53
IND173212AAA,2,4,6,19,9,28
IND174001AAA,2,1,3,29,15,44
IND174307AAA,1,1,2,14,17,31
IND176041AAA,2,0,2,19,0,19
IND181152AAA,3,1,4,6,5,11
IND184104AAA,2,4,6,9,12,21
IND160102AAD,0,2,2,0,15,15
IND160002AAD,1,0,1,3,0,3
IND173220AAA,1,2,3,5,3,8
IND175018AAA,1,1,2,15,16,31
IND174021AAA,0,1,1,0,12,12
IND176048AAA,1,1,2,12,11,23
IND174101AAB,0,2,2,0,12,12
IND175001AAA,1,1,2,16,17,33
IND175101AAA,1,1,2,17,4,21
IND175015AAA,1,1,2,11,13,24
IND176061AAA,1,1,2,3,2,5
IND176110AAB,1,1,2,7,9,16
IND177033AAA,1,1,2,9,18,27
IND176215AAA,0,1,1,0,3,3
IND176310AAA,1,1,2,10,13,23
IND177001AAA,0,1,1,0,7,7
IND177101AAA,1,2,3,3,3,6
IND176001AAA,1,0,1,2,0,2
IND176001AAB,1,0,1,1,0,1
IND177203AAA,0,1,1,0,3,3
IND184121AAA,3,4,7,12,10,22
IND181152AAB,3,3,6,11,12,23
IND181201AAB,1,1,2,7,8,15
IND201001AAA,1,1,2,4,5,9
IND201005AAA,1,1,2,3,1,4
IND201007AAB,1,3,4,1,17,18
IND245101AAA,2,2,4,16,17,33
IND245304AAA,2,2,4,26,27,53
IND201301AAL,2,2,4,29,16,45
IND201304AAA,2,1,3,13,18,31
IND203205AAA,1,0,1,19,0,19
IND201307AAA,1,1,2,5,28,33
IND201306AAA,0,2,2,0,9,9
IND205001AAB,3,5,8,26,21,47
IND207123AAA,1,1,2,2,1,3
IND202001AAC,0,1,1,0,4,4
IND204215AAA,1,1,2,4,6,10
IND203001AAA,0,1,1,0,5,5
IND203131AAA,1,1,2,5,16,21
IND203135AAA,1,2,3,16,16,32
IND203390AAA,2,1,3,19,20,39
IND203396AAB,1,1,2,12,15,27
IND204101AAA,1,2,3,4,4,8
IND207001AAA,1,1,2,6,6,12
IND205135AAA,1,1,2,8,13,21
IND209625AAA,2,1,3,11,11,22
IND209721AAB,1,1,2,10,10,20
IND283203AAA,2,2,4,14,14,28
IND206001AAA,1,1,2,19,20,39
IND206122AAA,1,1,2,20,19,39
IND207302AAA,1,1,2,6,6,12
IND207247AAB,2,1,3,10,10,20
IND208006AAA,1,1,2,14,3,17
IND208012AAA,1,1,2,21,13,34
IND208017AAA,0,1,1,0,6,6
IND208019AAA,1,1,2,18,6,24
IND209101AAA,1,1,2,16,17,33
IND209111AAA,1,1,2,17,21,38
IND285001AAD,1,1,2,21,21,42
IND209206AAB,1,1,2,18,15,33
IND210301AAA,1,0,1,15,0,15
IND209801AAA,1,1,2,20,5,25
IND211002AAB,6,4,10,52,49,101
IND212601AAA,1,1,2,16,16,32
IND221313AAA,1,6,7,6,15,21
IND241124AAB,1,1,2,11,4,15
IND210001AAA,1,1,2,16,10,26
IND210427AAA,1,1,2,10,9,19
IND210431AAA,1,1,2,5,5,10
IND210501AAB,0,1,1,0,16,16
IND211011AAA,1,1,2,13,13,26
IND211013AAA,1,0,1,7,0,7
IND485001AAC,2,5,7,29,21,50
IND211008AAA,0,1,1,0,6,6
IND211010AAB,0,1,1,0,1,1
IND212501AAA,1,1,2,13,13,26
IND212402AAA,1,1,2,13,13,26
IND221010AAA,1,1,2,2,1,3
IND221005A1A,1,0,1,1,0,1
IND221010AAB,2,3,5,2,5,7
IND222001AAA,2,1,3,2,1,3
IND232101AAB,2,1,3,4,7,11
IND233001AAA,1,2,3,3,4,7
IND221303AAA,1,1,2,2,3,5
IND231001AAA,1,0,1,3,0,3
IND221401AAA,1,1,2,1,2,3
IND222136AAA,2,0,2,2,0,2
IND276128AAA,1,1,2,2,6,8
IND221706AAA,1,1,2,7,11,18
IND273014AAB,6,6,12,48,45,93
IND222125AAB,1,1,2,7,1,8
IND223101AAB,1,1,2,7,7,14
IND224001AAA,0,1,1,0,13,13
IND224141AAB,1,1,2,13,17,30
IND224122AAA,1,0,1,17,0,17
IND226004AAA,0,2,2,0,7,7
IND226016AAA,1,0,1,6,0,6
IND226024AAA,1,0,1,1,0,1
IND231205AAA,1,1,2,4,3,7
IND231216AAA,2,0,2,6,0,6
IND231208AAA,0,1,1,0,6,6
IND231217AAA,1,1,2,6,7,13
IND231225AAB,1,1,2,7,7,14
IND486886AAA,1,1,2,7,7,14
IND232104AAB,1,3,4,7,4,11
IND232327AAA,1,0,1,1,0,1
IND233221AAC,1,0,1,2,0,2
IND275101AAA,1,1,2,3,2,5
IND275503AAA,2,1,3,3,4,7
IND242001AAA,1,1,2,4,1,5
IND242307AAB,1,2,3,1,10,11
IND242221AAA,1,1,2,5,5,10
IND243001AAA,0,2,2,0,15,15
IND243503AAB,3,1,4,15,11,26
IND244901AAB,10,7,17,64,67,131
IND243002AAA,1,1,2,16,1,17
IND243201AAA,2,1,3,3,4,7
IND262001AAA,2,2,4,5,7,12
IND243301AAB,1,2,3,10,12,22
IND244901AAC,1,1,2,2,1,3
IND263153AAB,6,7,13,48,56,104
IND244221AAA,1,1,2,20,21,41
IND244301AAA,1,1,2,10,11,21
IND244412AAA,1,2,3,11,13,24
IND244501AAA,1,1,2,10,8,18
IND244601AAB,2,1,3,9,9,18
IND244713AAA,3,2,5,18,17,35
IND244715AAA,2,2,4,17,17,34
IND263401AAA,3,2,5,18,16,34
IND244921AAB,2,2,4,6,3,9
IND246725AAB,1,1,2,14,10,24
IND246001AAA,0,1,1,0,4,4
IND249201AAA,2,2,4,22,21,43
IND246149AAA,1,1,2,18,15,33
IND246174AAA,2,1,3,20,16,36
IND246444AAB,1,1,2,16,15,31
IND246424AAA,1,1,2,15,16,31
IND246701AAA,1,1,2,10,12,22
IND246763AAA,1,2,3,12,14,26
IND246761AAA,1,3,4,11,12,23
IND247554AAA,1,2,3,12,14,26
IND247776AAA,1,1,2,11,9,20
IND251309AAB,1,1,2,9,10,19
IND248122AAB,1,1,2,16,15,31
IND248197AAA,0,1,1,0,16,16
IND250221AAA,0,1,1,0,1,1
IND251201AAA,1,2,3,1,2,3
IND261001AAA,1,1,2,19,20,39
IND262701AAA,1,1,2,20,20,40
IND261201AAB,0,1,1,0,19,19
IND262122AAB,1,1,2,6,4,10
IND262405AAA,0,1,1,0,2,2
IND262501AAA,2,1,3,11,8,19
IND262802AAA,1,1,2,20,21,41
IND262723AAB,1,0,1,21,0,21
IND263002AAA,1,1,2,13,13,26
IND263645AAA,3,2,5,15,13,28
IND263139AAA,1,1,2,7,6,13
IND263601AAA,1,3,4,12,12,24
IND271001AAA,1,2,3,12,6,18
IND271201AAA,1,1,2,5,6,11
IND271210AAA,2,1,3,7,12,19
IND272001AAA,1,2,3,3,7,10
IND272175AAA,1,0,1,2,0,2
IND272155AAA,0,1,1,0,3,3
IND272207AAB,0,1,1,0,3,3
IND272153AAC,1,0,1,3,0,3
IND273155AAA,1,2,3,5,2,7
IND273304AAA,2,1,3,3,14,17
IND274001AAA,2,2,4,17,14,31
IND274301AAB,3,1,4,15,16,31
IND277303AAC,1,1,2,18,6,24
IND273303AAA,1,1,2,1,1,2
IND274509AAB,1,3,4,13,5,18
IND274304AAA,2,1,3,3,6,9
IND274304AAB,2,2,4,10,14,24
IND274402AAA,1,2,3,2,5,7
IND275303AAA,1,1,2,4,4,8
IND276140AAA,1,1,2,4,1,5
IND276305AAA,1,1,2,6,7,13
IND276129AAA,1,1,2,1,1,2
IND277201AAA,1,1,2,5,7,12
IND277211AAA,1,1,2,6,5,11
IND281121AAB,0,1,1,0,13,13
IND281401AAA,0,2,2,0,12,12
IND321022AAA,1,1,2,9,9,18
IND282001AAF,0,1,1,0,18,18
IND283122AAB,1,2,3,18,10,28
IND281004AAA,1,0,1,8,0,8
IND282005AAA,1,0,1,3,0,3
IND284001AAA,0,1,1,0,6,6
IND284403AAA,1,2,3,6,3,9
IND472001AAA,2,2,4,11,19,30
IND285205AAB,1,1,2,21,5,26
IND321001AAB,1,2,3,13,8,21
IND321606AAA,2,2,4,7,9,16
IND301019AAA,0,2,2,0,8,8
IND302004AAA,1,2,3,26,9,35
IND302014AAB,9,12,21,66,150,216
IND302033AAB,1,0,1,1,0,1
IND302006AAA,1,1,2,16,13,29
IND302006AAC,1,1,2,22,1,23
IND303702AAB,1,2,3,9,12,21
IND305001AAC,5,4,9,67,45,112
IND306401AAB,3,4,7,34,60,94
IND313001AAB,4,5,9,47,53,100
IND332404AAA,2,1,3,9,12,21
IND302020AAA,1,1,2,18,19,37
IND302023AAA,1,0,1,19,0,19
IND302026AAA,1,1,2,19,3,22
IND303008AAB,1,1,2,5,5,10
IND303301AAB,1,1,2,10,12,22
IND303303AAA,2,1,3,15,16,31
IND303603AAB,2,2,4,7,7,14
IND303901AAA,1,1,2,10,3,13
IND304001AAA,2,1,3,4,1,5
IND303002AAA,1,1,2,9,10,19
IND303338AAB,2,1,3,6,6,12
IND303106AAA,1,2,3,9,11,20
IND303108AAB,0,1,1,0,9,9
IND322230AAA,1,1,2,16,14,30
IND303503AAA,1,1,2,12,11,23
IND332001AAB,3,6,9,20,34,54
IND322001AAC,1,1,2,1,3,4
IND305802AAA,1,1,2,11,6,17
IND305901AAA,1,2,3,17,7,24
IND342602AAC,2,2,4,8,4,12
IND305404AAA,1,2,3,8,14,22
IND305601AAC,1,1,2,13,18,31
IND305624AAA,3,1,4,10,8,18
IND341512AAA,1,1,2,6,5,11
IND306116AAA,1,1,2,1,3,4
IND306001AAA,1,0,1,3,0,3
IND306304AAB,1,1,2,1,1,2
IND311302AAA,2,1,3,4,3,7
IND342005AAD,2,4,6,32,19,51
IND343001AAA,1,1,2,5,2,7
IND306902AAA,1,1,2,2,1,3
IND307001AAA,1,1,2,2,2,4
IND311001AAA,2,1,3,14,5,19
IND313324AAA,1,1,2,5,14,19
IND311301AAA,0,1,1,0,6,6
IND312001AAA,2,2,4,22,19,41
IND312601AAA,1,1,2,6,6,12
IND312403AAA,1,1,2,7,9,16
IND458664AAA,1,1,2,6,7,13
IND312605AAB,2,2,4,14,19,33
IND458001AAB,1,1,2,12,11,23
IND327001AAB,1,1,2,8,4,12
IND321001AAA,2,2,4,9,13,22
IND321401AAB,2,0,2,12,0,12
IND321408AAB,0,2,2,0,5,5
IND322201AAA,1,2,3,15,14,29
IND322241AAA,1,1,2,14,15,29
IND331022A1B,0,1,1,0,1,1
IND331001A1C,1,0,1,1,0,1
IND331023AAA,1,1,2,5,3,8
IND331304AAA,1,1,2,3,4,7
IND331507AAA,0,1,1,0,3,3
IND331701AAA,1,1,2,1,2,3
IND333001AAA,1,1,2,3,3,6
IND333028AAA,2,2,4,5,2,7
IND333031AAA,2,1,3,15,5,20
IND333042AAA,1,1,2,14,13,27
IND334001AAB,1,1,2,10,2,12
IND334001AAC,1,2,3,3,6,9
IND332713AAA,1,2,3,2,7,9
IND332709AAA,1,0,1,6,0,6
IND332715AAB,1,0,1,1,0,1
IND333502AAA,1,0,1,1,0,1
IND333504AAA,1,1,2,1,2,3
IND334803AAA,2,1,3,6,3,9
IND341001AAC,2,2,4,5,9,14
IND335001AAA,1,1,2,6,10,16
IND335051AAA,1,1,2,7,10,17
IND335803AAA,1,1,2,9,7,16
IND335804AAD,2,2,4,8,11,19
IND335701AAA,2,1,3,11,7,18
IND335703AAA,1,1,2,9,9,18
IND341030AAA,1,1,2,2,3,5
IND341303AAA,2,1,3,10,14,24
IND341306AAA,1,1,2,14,4,18
IND341503AAB,1,1,2,12,12,24
IND341510AAB,2,1,3,13,14,27
IND341505AAA,1,2,3,5,13,18
IND342601AAA,1,2,3,9,9,18
IND342902A1B,2,1,3,7,9,16
IND342902AAA,2,1,3,8,5,13
IND344022AAB,1,2,3,4,10,14
IND342301AAA,4,1,5,16,14,30
IND343029AAB,1,1,2,2,2,4
IND344001AAA,1,3,4,9,13,22
IND345001AAA,1,2,3,6,5,11
IND345021AAA,2,1,3,7,10,17
IND360003AAA,0,1,1,0,2,2
IND360311AAA,1,1,2,2,1,3
IND360050AAA,1,0,1,1,0,1
IND360370AAA,1,1,2,10,1,11
IND360410AAA,1,1,2,1,2,3
IND360490AAA,1,1,2,2,10,12
IND362001AAA,3,4,7,36,37,73
IND360510AAB,1,1,2,10,13,23
IND360530AAB,1,1,2,13,15,28
IND360575AAA,1,1,2,11,10,21
IND361001AAA,0,1,1,0,16,16
IND361305AAC,1,2,3,16,11,27
IND361315AAA,1,1,2,10,11,21
IND361335AAA,2,1,3,12,1,13
IND360002AAB,3,0,3,4,0,4
IND362220AAA,1,2,3,14,8,22
